66033 silly lifecycle boom@2.10.1~preinstall: no script for preinstall, continuing
67245 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/tapable
67246 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/enhanced-resolve
67247 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/through
67248 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/pause-stream
67249 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/split
67250 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/event-stream
67251 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/ps-tree
67252 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/timed-out
67253 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/timers-browserify
67254 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/to-fast-properties
67255 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-types
67256 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-generator
67257 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-helper-builder-react-jsx
67258 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-plugin-transform-react-jsx
67259 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-helper-get-function-arity
67260 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-helper-hoist-variables
67261 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-helper-optimise-call-expression
67262 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-helper-regex
67263 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-plugin-transform-es2015-unicode-regex
67264 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-plugin-transform-es2015-duplicate-keys
67265 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-plugin-transform-es2015-shorthand-properties
67266 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-plugin-transform-es2015-sticky-regex
67267 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-plugin-transform-regenerator
67268 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-plugin-transform-strict-mode
67269 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-traverse
67270 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-helper-bindify-decorators
67271 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-helper-call-delegate
67272 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-helper-explode-assignable-expression
67273 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-helper-builder-binary-assignment-operator-visitor
67274 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-plugin-transform-exponentiation-operator
67275 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-helper-explode-class
67276 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-template
67277 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-helper-function-name
67278 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-helper-define-map
67279 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-plugin-transform-es2015-function-name
67280 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-helper-remap-async-to-generator
67281 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-plugin-transform-async-generator-functions
67282 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-plugin-transform-async-to-generator
67283 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-preset-stage-3
67284 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-helper-replace-supers
67285 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-plugin-transform-es2015-object-super
67286 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-helpers
67287 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-core
67288 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-register
67289 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-plugin-transform-class-constructor-call
67290 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-plugin-transform-class-properties
67291 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-plugin-transform-decorators
67292 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-preset-stage-2
67293 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-preset-stage-1
67294 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-plugin-transform-es2015-block-scoping
67295 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-plugin-transform-es2015-classes
67296 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-plugin-transform-es2015-computed-properties
67297 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-plugin-transform-es2015-modules-commonjs
67298 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-plugin-transform-es2015-modules-amd
67299 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-plugin-transform-es2015-modules-systemjs
67300 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-plugin-transform-es2015-modules-umd
67301 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-plugin-transform-es2015-parameters
67302 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/topo
67303 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/joi
67304 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/touch
67305 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/tty-browserify
67306 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/tween-functions
67307 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/kw-react-tween-state
67308 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/type-is
67309 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/typedarray
67310 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/ua-parser-js
67311 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/uglify-js/node_modules/async
67312 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/uglify-to-browserify
67313 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/undefsafe
67314 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/uniq
67315 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/postcss-selector-parser
67316 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/postcss-minify-selectors
67317 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/uniqid
67318 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/postcss-filter-plugins
67319 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/uniqs
67320 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/postcss-discard-unused
67321 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/postcss-minify-params
67322 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/postcss-unique-selectors
67323 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/postcss-zindex
67324 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/unpipe
67325 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/finalhandler
67326 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/raw-body
67327 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/url/node_modules/punycode
67328 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/url
67329 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/user-home
67330 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/util-deprecate
67331 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/concat-stream/node_modules/readable-stream
67332 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/concat-stream
67333 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/duplexify/node_modules/readable-stream
67334 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/memory-fs/node_modules/readable-stream
67335 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/memory-fs
67336 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/read-all-stream/node_modules/readable-stream
67337 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/read-all-stream
67338 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/readdirp/node_modules/readable-stream
67339 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/readdirp
67340 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/chokidar
67341 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/util/node_modules/inherits
67342 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/util
67343 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/assert
67344 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/utils-merge
67345 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/uuid
67346 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/v8flags
67347 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/validate-npm-package-license
67348 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/normalize-package-data
67349 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/read-pkg
67350 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/read-pkg-up
67351 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/vary
67352 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/vendors
67353 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/postcss-merge-rules
67354 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/vm-browserify
67355 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/node-libs-browser
67356 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/warning
67357 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/react-event-listener
67358 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/watchpack/node_modules/async
67359 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/watchpack
67360 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/webpack-core/node_modules/source-map
67361 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/webpack-core
67362 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/webpack-validator/node_modules/camelcase
67363 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/webpack-validator/node_modules/lodash
67364 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/webpack-validator/node_modules/lodash.assign
67365 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/webpack-validator/node_modules/window-size
67366 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/webpack/node_modules/supports-color
67367 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/whatwg-fetch
67368 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/isomorphic-fetch
67369 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/fbjs
67370 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/recompose
67371 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/whet.extend
67372 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/svgo
67373 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/postcss-svgo
67374 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/cssnano
67375 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/which
67376 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/global-prefix
67377 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/global-modules
67378 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/resolve-dir
67379 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/findup-sync
67380 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/find-node-modules
67381 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/window-size
67382 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/wordwrap
67383 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/optimist
67384 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/wrap-ansi
67385 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/webpack-validator/node_modules/cliui
67386 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/wrappy
67387 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/once
67388 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/end-of-stream
67389 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/duplexify
67390 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/got
67391 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/package-json
67392 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/latest-version
67393 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/inflight
67394 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/glob
67395 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/shelljs/node_modules/glob
67396 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/shelljs
67397 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/write-file-atomic
67398 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/xdg-basedir
67399 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/configstore
67400 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/update-notifier
67401 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/xtend
67402 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/y18n
67403 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/yallist
67404 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/lru-cache
67405 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/cross-spawn
67406 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/cross-env
67407 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/yargs
67408 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/uglify-js
67409 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/yargs-parser/node_modules/camelcase
67410 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/yargs-parser/node_modules/lodash.assign
67411 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/yargs-parser
67412 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/webpack-validator/node_modules/yargs
67413 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-cli
67414 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-loader
67415 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-preset-es2015
67416 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-preset-react
67417 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/babel-preset-stage-0
67418 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/body-parser
67419 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/bower
67420 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/cookie-parser
67421 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/css-loader
67422 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/express
67423 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/firebase
67424 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/firebase-admin
67425 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/flexbox
67426 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/jquery
67427 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/material-ui
67428 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/morgan
67429 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/multer
67430 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/nodemon
67431 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/nuka-carousel
67432 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/react
67433 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/react-dom
67434 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/react-redux
67435 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/react-router
67436 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/react-scroll
67437 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/react-tap-event-plugin
67438 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/redux
67439 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/router
67440 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/style-loader
67441 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/webpack
67442 silly finalize /Users/dailenspencer/Projects/Herena/node_modules/webpack-validator
67443 silly doSerial build 797
67444 silly build abbrev@1.0.9
67445 info linkStuff abbrev@1.0.9
67446 silly linkStuff abbrev@1.0.9 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67447 verbose linkBins abbrev@1.0.9
67448 verbose linkMans abbrev@1.0.9
67449 silly build acorn@3.3.0
67450 info linkStuff acorn@3.3.0
67451 silly linkStuff acorn@3.3.0 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67452 verbose linkBins acorn@3.3.0
67453 verbose linkBins [ { acorn: './bin/acorn' },
67453 verbose linkBins   '/Users/dailenspencer/Projects/Herena/node_modules/.bin',
67453 verbose linkBins   false ]
67454 verbose linkMans acorn@3.3.0
67455 silly gentlyRm /Users/dailenspencer/Projects/Herena/node_modules/.bin/acorn is being purged
67456 verbose gentlyRm don't care about contents; nuking /Users/dailenspencer/Projects/Herena/node_modules/.bin/acorn
67457 silly build alphanum-sort@1.0.2
67458 info linkStuff alphanum-sort@1.0.2
67459 silly linkStuff alphanum-sort@1.0.2 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67460 verbose linkBins alphanum-sort@1.0.2
67461 verbose linkMans alphanum-sort@1.0.2
67462 silly build amdefine@1.0.1
67463 info linkStuff amdefine@1.0.1
67464 silly linkStuff amdefine@1.0.1 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67465 verbose linkBins amdefine@1.0.1
67466 verbose linkMans amdefine@1.0.1
67467 silly build ansi@0.3.1
67468 info linkStuff ansi@0.3.1
67469 silly linkStuff ansi@0.3.1 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67470 verbose linkBins ansi@0.3.1
67471 verbose linkMans ansi@0.3.1
67472 silly build ansi-regex@2.0.0
67473 info linkStuff ansi-regex@2.0.0
67474 silly linkStuff ansi-regex@2.0.0 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67475 verbose linkBins ansi-regex@2.0.0
67476 verbose linkMans ansi-regex@2.0.0
67477 silly build ansi-styles@2.2.1
67478 info linkStuff ansi-styles@2.2.1
67479 silly linkStuff ansi-styles@2.2.1 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67480 verbose linkBins ansi-styles@2.2.1
67481 verbose linkMans ansi-styles@2.2.1
67482 silly build append-field@0.1.0
67483 info linkStuff append-field@0.1.0
67484 silly linkStuff append-field@0.1.0 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67485 verbose linkBins append-field@0.1.0
67486 verbose linkMans append-field@0.1.0
67487 silly build arr-flatten@1.0.1
67488 info linkStuff arr-flatten@1.0.1
67489 silly linkStuff arr-flatten@1.0.1 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67490 verbose linkBins arr-flatten@1.0.1
67491 verbose linkMans arr-flatten@1.0.1
67492 silly build arr-diff@2.0.0
67493 info linkStuff arr-diff@2.0.0
67494 silly linkStuff arr-diff@2.0.0 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67495 verbose linkBins arr-diff@2.0.0
67496 verbose linkMans arr-diff@2.0.0
67497 silly build array-flatten@1.1.1
67498 info linkStuff array-flatten@1.1.1
67499 silly linkStuff array-flatten@1.1.1 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67500 verbose linkBins array-flatten@1.1.1
67501 verbose linkMans array-flatten@1.1.1
67502 silly build array-unique@0.2.1
67503 info linkStuff array-unique@0.2.1
67504 silly linkStuff array-unique@0.2.1 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67505 verbose linkBins array-unique@0.2.1
67506 verbose linkMans array-unique@0.2.1
67507 silly build arrify@1.0.1
67508 info linkStuff arrify@1.0.1
67509 silly linkStuff arrify@1.0.1 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67510 verbose linkBins arrify@1.0.1
67511 verbose linkMans arrify@1.0.1
67512 silly build asap@2.0.5
67513 info linkStuff asap@2.0.5
67514 silly linkStuff asap@2.0.5 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67515 verbose linkBins asap@2.0.5
67516 verbose linkMans asap@2.0.5
67517 silly build async@1.5.2
67518 info linkStuff async@1.5.2
67519 silly linkStuff async@1.5.2 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67520 verbose linkBins async@1.5.2
67521 verbose linkMans async@1.5.2
67522 silly build async-each@1.0.1
67523 info linkStuff async-each@1.0.1
67524 silly linkStuff async-each@1.0.1 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67525 verbose linkBins async-each@1.0.1
67526 verbose linkMans async-each@1.0.1
67527 silly build babel-plugin-syntax-async-functions@6.13.0
67528 info linkStuff babel-plugin-syntax-async-functions@6.13.0
67529 silly linkStuff babel-plugin-syntax-async-functions@6.13.0 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67530 verbose linkBins babel-plugin-syntax-async-functions@6.13.0
67531 verbose linkMans babel-plugin-syntax-async-functions@6.13.0
67532 silly build babel-plugin-syntax-async-generators@6.13.0
67533 info linkStuff babel-plugin-syntax-async-generators@6.13.0
67534 silly linkStuff babel-plugin-syntax-async-generators@6.13.0 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67535 verbose linkBins babel-plugin-syntax-async-generators@6.13.0
67536 verbose linkMans babel-plugin-syntax-async-generators@6.13.0
67537 silly build babel-plugin-syntax-class-constructor-call@6.18.0
67538 info linkStuff babel-plugin-syntax-class-constructor-call@6.18.0
67539 silly linkStuff babel-plugin-syntax-class-constructor-call@6.18.0 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67540 verbose linkBins babel-plugin-syntax-class-constructor-call@6.18.0
67541 verbose linkMans babel-plugin-syntax-class-constructor-call@6.18.0
67542 silly build babel-plugin-syntax-class-properties@6.13.0
67543 info linkStuff babel-plugin-syntax-class-properties@6.13.0
67544 silly linkStuff babel-plugin-syntax-class-properties@6.13.0 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67545 verbose linkBins babel-plugin-syntax-class-properties@6.13.0
67546 verbose linkMans babel-plugin-syntax-class-properties@6.13.0
67547 silly build babel-plugin-syntax-decorators@6.13.0
67548 info linkStuff babel-plugin-syntax-decorators@6.13.0
67549 silly linkStuff babel-plugin-syntax-decorators@6.13.0 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67550 verbose linkBins babel-plugin-syntax-decorators@6.13.0
67551 verbose linkMans babel-plugin-syntax-decorators@6.13.0
67552 silly build babel-plugin-syntax-do-expressions@6.13.0
67553 info linkStuff babel-plugin-syntax-do-expressions@6.13.0
67554 silly linkStuff babel-plugin-syntax-do-expressions@6.13.0 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67555 verbose linkBins babel-plugin-syntax-do-expressions@6.13.0
67556 verbose linkMans babel-plugin-syntax-do-expressions@6.13.0
67557 silly build babel-plugin-syntax-dynamic-import@6.18.0
67558 info linkStuff babel-plugin-syntax-dynamic-import@6.18.0
67559 silly linkStuff babel-plugin-syntax-dynamic-import@6.18.0 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67560 verbose linkBins babel-plugin-syntax-dynamic-import@6.18.0
67561 verbose linkMans babel-plugin-syntax-dynamic-import@6.18.0
67562 silly build babel-plugin-syntax-exponentiation-operator@6.13.0
67563 info linkStuff babel-plugin-syntax-exponentiation-operator@6.13.0
67564 silly linkStuff babel-plugin-syntax-exponentiation-operator@6.13.0 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67565 verbose linkBins babel-plugin-syntax-exponentiation-operator@6.13.0
67566 verbose linkMans babel-plugin-syntax-exponentiation-operator@6.13.0
67567 silly build babel-plugin-syntax-export-extensions@6.13.0
67568 info linkStuff babel-plugin-syntax-export-extensions@6.13.0
67569 silly linkStuff babel-plugin-syntax-export-extensions@6.13.0 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67570 verbose linkBins babel-plugin-syntax-export-extensions@6.13.0
67571 verbose linkMans babel-plugin-syntax-export-extensions@6.13.0
67572 silly build babel-plugin-syntax-flow@6.18.0
67573 info linkStuff babel-plugin-syntax-flow@6.18.0
67574 silly linkStuff babel-plugin-syntax-flow@6.18.0 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67575 verbose linkBins babel-plugin-syntax-flow@6.18.0
67576 verbose linkMans babel-plugin-syntax-flow@6.18.0
67577 silly build babel-plugin-syntax-function-bind@6.13.0
67578 info linkStuff babel-plugin-syntax-function-bind@6.13.0
67579 silly linkStuff babel-plugin-syntax-function-bind@6.13.0 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67580 verbose linkBins babel-plugin-syntax-function-bind@6.13.0
67581 verbose linkMans babel-plugin-syntax-function-bind@6.13.0
67582 silly build babel-plugin-syntax-jsx@6.18.0
67583 info linkStuff babel-plugin-syntax-jsx@6.18.0
67584 silly linkStuff babel-plugin-syntax-jsx@6.18.0 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67585 verbose linkBins babel-plugin-syntax-jsx@6.18.0
67586 verbose linkMans babel-plugin-syntax-jsx@6.18.0
67587 silly build babel-plugin-syntax-object-rest-spread@6.13.0
67588 info linkStuff babel-plugin-syntax-object-rest-spread@6.13.0
67589 silly linkStuff babel-plugin-syntax-object-rest-spread@6.13.0 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67590 verbose linkBins babel-plugin-syntax-object-rest-spread@6.13.0
67591 verbose linkMans babel-plugin-syntax-object-rest-spread@6.13.0
67592 silly build babel-plugin-syntax-trailing-function-commas@6.13.0
67593 info linkStuff babel-plugin-syntax-trailing-function-commas@6.13.0
67594 silly linkStuff babel-plugin-syntax-trailing-function-commas@6.13.0 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67595 verbose linkBins babel-plugin-syntax-trailing-function-commas@6.13.0
67596 verbose linkMans babel-plugin-syntax-trailing-function-commas@6.13.0
67597 silly build babylon@6.14.1
67598 info linkStuff babylon@6.14.1
67599 silly linkStuff babylon@6.14.1 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67600 verbose linkBins babylon@6.14.1
67601 verbose linkBins [ { babylon: './bin/babylon.js' },
67601 verbose linkBins   '/Users/dailenspencer/Projects/Herena/node_modules/.bin',
67601 verbose linkBins   false ]
67602 verbose linkMans babylon@6.14.1
67603 silly gentlyRm /Users/dailenspencer/Projects/Herena/node_modules/.bin/babylon is being purged
67604 verbose gentlyRm don't care about contents; nuking /Users/dailenspencer/Projects/Herena/node_modules/.bin/babylon
67605 silly build balanced-match@0.4.2
67606 info linkStuff balanced-match@0.4.2
67607 silly linkStuff balanced-match@0.4.2 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67608 verbose linkBins balanced-match@0.4.2
67609 verbose linkMans balanced-match@0.4.2
67610 silly build Base64@0.2.1
67611 info linkStuff Base64@0.2.1
67612 silly linkStuff Base64@0.2.1 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67613 verbose linkBins Base64@0.2.1
67614 verbose linkMans Base64@0.2.1
67615 silly build base64-js@1.2.0
67616 info linkStuff base64-js@1.2.0
67617 silly linkStuff base64-js@1.2.0 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67618 verbose linkBins base64-js@1.2.0
67619 verbose linkMans base64-js@1.2.0
67620 silly build basename@0.1.2
67621 info linkStuff basename@0.1.2
67622 silly linkStuff basename@0.1.2 has /Users/dailenspencer/Projects/Herena/node_modules as its parent node_modules
67623 verbose linkBins basename@0.1.2
67624 verbose linkMans basename@0.1.2
